Accession,Release_Date,Species,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,,Homo sapiens,,2019-12
MW084406,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,USA,,Homo sapiens,,2020-04-13
MW084414,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA,,Homo sapiens,,2020-04-13
MW084419,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA,,Homo sapiens,,2020-04-13
MW084426,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA,,Homo sapiens,,2020-04-13
MW084440,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA,,Homo sapiens,,2020-04-20
MW084441,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA,,Homo sapiens,,2020-04-20
MW084469,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,USA,,Homo sapiens,,2020-04-24
MW084505,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA,,Homo sapiens,,2020-05-15
MW084509,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA,,Homo sapiens,,2020-05-14
MW084516,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,USA,,Homo sapiens,,2020-05-15
MW084517,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,,Homo sapiens,,2020-05-15
MW084518,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,USA,,Homo sapiens,,2020-05-15
MW084520,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,USA,,Homo sapiens,,2020-05-15
MW084522,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,USA,,Homo sapiens,,2020-05-15
MW084525,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,,Homo sapiens,,2020-05-16
MW084527,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA,,Homo sapiens,,2020-05-18
MW084536,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA,,Homo sapiens,,2020-05-22
MW084553,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,USA,,Homo sapiens,,2020-05-25
MW084559,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA,,Homo sapiens,,2020-05-26
